,Matan,Degree
1299,أخبرته أنها، استأمرت النبي صلى الله عليه وسلم في قتل الوزغان فأمر بقتلها وأم شريك إحدى نساء بني عامر بن لؤى اتفق لفظ حديث ابن أبي خلف وعبد بن حميد وحديث ابن وهب قريب منه,0
2879, أولا الزنا يحشرون يوم القيامة صورة القردة والخنازير,1
0,أم سلمة، قالت أمرنا رسول الله صلى الله عليه وسلم بالصدقة فقالت زينب امرأة عبد الله أيجزيني من الصدقة أن أتصدق على زوجي وهو فقير وبني أخ لي أيتام وأنا أنفق عليهم هكذا وهكذا وعلى كل حال قال نعم قال وكانت صناع اليدين,0
408,يقول كان رسول الله صلى الله عليه وسلم ينتبذ له أول الليل فيشربه إذا أصبح يومه ذلك والليلة التي تجيء والغد والليلة الأخرى والغد إلى العصر فإن بقي شىء سقاه الخادم أو أمر به فصب,0
17066,الخطاب، قام يوم الجمعة خطيبا فحمد الله وأثنى عليه ثم قال يا أيها الناس إنكم تأكلون شجرتين لا أراهما إلا خبيثتين هذا الثوم وهذا البصل ولقد كنت أرى الرجل على عهد رسول الله صلى الله عليه وسلم يوجد ريحه منه فيؤخذ بيده حتى يخرج به إلى البقيع فمن كان آكلهما لا بد فليمتهما طبخا,0
16608,أضللت بعيرا لي، فذهبت أطلبه يوم عرفة، فرأيت النبي صلى الله عليه وسلم واقفا بعرفة، فقلت هذا والله من الحمس فما شأنه ها هنا,0
22054,أن أبا إدريس الخولاني، كان يقول قال حذيفة بن اليمان والله إني لأعلم الناس بكل فتنة هي كائنة فيما بيني وبين الساعة وما بي إلا أن يكون رسول الله صلى الله عليه وسلم أسر إلى في ذلك شيئا لم يحدثه غيري ولكن رسول الله صلى الله عليه وسلم قال وهو يحدث مجلسا أنا فيه عن الفتن فقال رسول الله صلى الله عليه وسلم وهو يعد الفتن منهن ثلاث لا يكدن يذرن شيئا ومنهن فتن كرياح الصيف منها صغار ومنها كبار قال حذيفة فذهب أولئك الرهط كلهم غيري,0
19048, هريرة يقول صلاة في مسجد رسول الله صلى الله عليه وسلم أفضل من ألف صلاة فيما سواه من المساجد إلا المسجد الحرام فإن رسول الله صلى الله عليه وسلم آخر الأنبياء ومسجده آخر المساجد قال أبو سلمة وأبو عبد الله لم نشك أن أبا هريرة كان يقول عن حديث رسول الله صلى الله عليه وسلم فمنعنا أن نستثبت أبا هريرة في ذلك الحديث حتى إذا توفي أبو هريرة ذكرنا ذلك وتلاومنا أن لا نكون كلمنا أبا هريرة في ذلك حتى يسنده إلى رسول الله صلى الله عليه وسلم إن كان سمعه منه فبينا نحن على ذلك جالسنا عبد الله بن إبراهيم بن قارظ فذكرنا ذلك الحديث والذي فرطنا فيه من نص أبي هريرة فقال لنا عبد الله بن إبراهيم أشهد أني سمعت أبا هريرة يقول قال رسول الله صلى الله عليه وسلم فإني آخر الأنبياء وإنه آخر المساجد,0
11483,: صلاة بسواك خير من سبعين صلاة بغير سواك,1
2237,قال كنا نصلي مع النبي صلى الله عليه وسلم في شدة الحر فإذا لم يقدر أحدنا أن يمكن جبهته بسط ثوبه فسجد عليه,0
15792,عن رسول الله صلى الله عليه وسلم أنه نهى عن بيع حبل الحبلة,0
5861, قال رسول الله صلى الله عليه وسلم إن اليهود إذا سلم عليكم أحدهم فإنما يقول السام عليكم فقولوا وعليكم قال أبو داود وكذلك رواه مالك عن عبد الله بن دينار ورواه الثوري عن عبد الله بن دينار قال فيه وعليكم,0
4678, أبي طالب، أن النبي صلى الله عليه وسلم قام في الجنائز ثم قعد بعد,0
23044, أنه طلق امرأته وهي حائض فردها عليه رسول الله صلى الله عليه وسلم حتى طلقها وهي طاهر,0
6930,عنهما أن النبي صلى الله عليه وسلم قال يوم الفتح لا هجرة بعد الفتح ولكن جهاد ونية، وإذا استنفرتم فانفروا,0
9698,واستأجر رسول الله صلى الله عليه وسلم وأبو بكر رجلا من بني الديل، هاديا خريتا وهو على دين كفار قريش، فدفعا إليه راحلتيهما، وواعداه غار ثور بعد ثلاث ليال براحلتيهما صبح ثلاث‏.‏,0
14084, عن النبي صلى الله عليه وسلم قال إن بلالا يؤذن بليل ليوقظ نائمكم وليرجع قائمكم وليس أن يقول هكذا يعني في الصبح,0
26305,أنه سمع رسول الله صلى الله عليه وسلم يقول ‏ ‏ نحن الآخرون السابقون يوم القيامة، بيد أنهم أوتوا الكتاب من قبلنا، ثم هذا يومهم الذي فرض عليهم فاختلفوا فيه، فهدانا الله، فالناس لنا فيه تبع، اليهود غدا والنصارى بعد غد ‏‏‏.‏,0
13218,أن رسول الله صلى الله عليه وسلم قال على المنبر ‏ ‏ غفار غفر الله لها، وأسلم سالمها الله، وعصية عصت الله و رسوله ‏‏‏.‏,0
9757,قال رسول الله صلى الله عليه وسلم يخرج في آخر الزمان قوم أحداث الأسنان سفهاء الأحلام يقرءون القرآن لا يجاوز تراقيهم يقولون من قول خير البرية يمرقون من الدين كما يمرق السهم من الرمية,0
6325,عائشة، قالت سأل رجل النبي صلى الله عليه وسلم أى الناس خير قال القرن الذي أنا فيه ثم الثاني ثم الثالث,0
12764,أنه، كان يسمع أسماء تقول كلما مرت بالحجون صلى الله على محمد لقد نزلنا معه ها هنا، ونحن يومئذ خفاف، قليل ظهرنا، قليلة أزوادنا، فاعتمرت أنا وأختي عائشة والزبير وفلان وفلان، فلما مسحنا البيت أحللنا، ثم أهللنا من العشي بالحج‏.‏,0
16080,قال قلنا يا رسول الله أنرى ربنا قال تضامون في رؤية الشمس في الظهيرة في غير سحاب قلنا لا قال فتضارون في رؤية القمر ليلة البدر في غير سحاب قالوا لا قال إنكم لا تضارون في رؤيته إلا كما تضارون في رؤيتهما,0
13537,مؤذنه في يوم جمعة في يوم مطير بنحو حديثهم,0
19009,: إن الرجلين من أمتي ليقومان إلى الصلاة فركوعهما وسجودهما واحد وإن ما بين صلاتيهما كما بين السماء والأرض,1
2848,"جاء رجل إلى رسول الله صلى الله عليه وسلم فسأله عن اللقطة، فقال ‏""‏ اعرف عفاصها ووكاءها، ثم عرفها سنة، فإن جاء صاحبها وإلا فشأنك بها ‏""‏‏.‏ قال فضالة الغنم قال ‏""‏ هي لك أو لأخيك أو للذئب ‏""‏‏.‏ قال فضالة الإبل قال ‏""‏ مالك ولها معها سقاؤها وحذاؤها، ترد الماء وتأكل الشجر، حتى يلقاها ربها ‏""‏‏.‏",0
24075,أخبره أن رسول الله صلى الله عليه وسلم أتته امرأة فكلمته في شيء وأمرها بأمر فقالت أرأيت يا رسول الله إن لم أجدك قال فإن لم تجديني فأت أبا بكر,0
11493,قال كان رسول الله صلى الله عليه وسلم أشد حياء من عذراء في خدرها وكان إذا كره شيئا رئي ذلك في وجهه,0
24025,ثابت النبي صلى الله عليه وسلم في هجاء المشركين ولم يذكر أبا سفيان وقال بدل الخمير العجين,0
24524, إن رسول الله صلى الله عليه وسلم قام يعني يوم بدر فقال إن عثمان انطلق في حاجة الله وحاجة رسول الله وإني أبايع له فضرب له رسول الله صلى الله عليه وسلم بسهم ولم يضرب لأحد غاب غيره,0
21031,عن النبي صلى الله عليه وسلم قال ما جلس قوم مجلسا لم يذكروا الله فيه ولم يصلوا على نبيهم إلا كان عليهم ترة فإن شاء عذبهم وإن شاء غفر لهم,0
22631,عن النبي صلى الله عليه وسلم قال ويلكم و ويحكم قال شعبة شك هو لا ترجعوا بعدي كفارا، يضرب بعضكم رقاب بعض وقال النضر عن شعبة ويحكم‏.‏ وقال عمر بن محمد عن أبيه ويلكم أو ويحكم‏.‏,0
3803,"كان النبي صلى الله عليه وسلم في سفر فقال ‏""‏ أبرد ‏""‏‏.‏ ثم قال ‏""‏ أبرد ‏""‏‏.‏ حتى فاء الفىء، يعني للتلول، ثم قال ‏""‏ أبردوا بالصلاة، فإن شدة الحر من فيح جهنم ‏""‏‏.‏",0
24294,قال رسول الله صلى الله عليه وسلم ‏ ‏ إياكم والظن فإن الظن أكذب الحديث، ولا تحسسوا، ولا تجسسوا، ولا تباغضوا، ولا تدابروا، وكونوا عباد الله إخوانا ‏‏‏.‏,0
10132,قال كان رسول الله صلى الله عليه وسلم إذا انصرف من صلاته استغفر ثلاثا وقال اللهم أنت السلام ومنك السلام تباركت ذا الجلال والإكرام قال الوليد فقلت للأوزاعي كيف الاستغفار قال تقول أستغفر الله أستغفر الله,0
16703,ابن المبارك نعم الرجل بقية لولا أنه كان يكني الأسامي ويسمي الكنى كان دهرا يحدثنا عن أبي سعيد الوحاظي فنظرنا فإذا هو عبد القدوس,0
17853, الله أن رسول الله صلى الله عليه وسلم أمرها أن لا تمس الطيب إذا خرجت إلى العشاء الآخرة,0
17666,قال بلغ رسول الله صلى الله عليه وسلم عن أصحابه شىء فخطب فقال عرضت على الجنة والنار فلم أر كاليوم في الخير والشر ولو تعلمون ما أعلم لضحكتم قليلا ولبكيتم كثيرا قال فما أتى على أصحاب رسول الله صلى الله عليه وسلم يوم أشد منه قال غطوا رءوسهم ولهم خنين قال فقام عمر فقال رضينا بالله ربا وبالإسلام دينا وبمحمد نبيا قال فقام ذاك الرجل فقال من أبي قال أبوك فلان فنزلت يا أيها الذين آمنوا لا تسألوا عن أشياء إن تبد لكم تسؤكم‏}‏,0
954,كان النبي صلى الله عليه وسلم يعجبه التيمن في تنعله وترجله وطهوره وفي شأنه كله‏.‏,0
24247,قال كنا مع النبي صلى الله عليه وسلم في سفر فجعل الناس يجهرون بالتكبير فقال النبي صلى الله عليه وسلم أيها الناس اربعوا على أنفسكم إنكم ليس تدعون أصم ولا غائبا إنكم تدعون سميعا قريبا وهو معكم قال وأنا خلفه وأنا أقول لا حول ولا قوة إلا بالله فقال يا عبد الله بن قيس ألا أدلك على كنز من كنوز الجنة فقلت بلى يا رسول الله قال قل لا حول ولا قوة إلا بالله,0
24788,رأيت رسول الله صلى الله عليه وسلم ركب راحلته بذي الحليفة ثم يهل حين تستوي به قائمة,0
2601,قال رسول الله صلى الله عليه وسلم الوضوء شطر الإيمان والحمد لله تملأ الميزان وسبحان الله والحمد لله تملآن أو تملأ ما بين السموات والأرض والصلاة نور والصدقة برهان والصبر ضياء والقرآن حجة لك أو عليك كل الناس يغدو فبائع نفسه فمعتقها أو موبقها,0
11059,عن رسول الله صلى الله عليه وسلم أنه قال لن ينجي أحدا منكم عمله قال رجل ولا إياك يا رسول الله قال ولا إياى إلا أن يتغمدني الله منه برحمة ولكن سددوا وحدثنيه يونس بن عبد الأعلى الصدفي، أخبرنا عبد الله بن وهب، أخبرني عمرو، بن الحارث عن بكير بن الأشج، بهذا الإسناد غير أنه قال برحمة منه وفضل ولم يذكر ولكن سددوا,0
23728, عن النبي صلى الله عليه وسلم أنه صلى في كسوف فقرأ ثم ركع ثم قرأ ثم ركع ثم قرأ ثم ركع ثم قرأ ثم ركع ثم سجد والأخرى مثلها,0
24164,زمعة في غلام فقال سعد هذا يا رسول الله ابن أخي عتبة بن أبي وقاص عهد إلى أنه ابنه انظر إلى شبهه وقال عبد بن زمعة هذا أخي يا رسول الله ولد على فراش أبي من وليدته فنظر رسول الله صلى الله عليه وسلم إلى شبهه فرأى شبها بينا بعتبة فقال هو لك يا عبد الولد للفراش وللعاهر الحجر واحتجبي منه يا سودة بنت زمعة قالت فلم ير سودة قط ولم يذكر محمد بن رمح قوله يا عبد,0
3337, أبيه، أن النبي صلى الله عليه وسلم نهى عن بيع الثمر بالتمر وقال ابن عمر حدثني زيد بن ثابت أن رسول الله صلى الله عليه وسلم رخص في العرايا,0
3181,من رفع قرطاسا من الأرض فيه بسم الله الرحمن الرحيم إجلالا لله أن يداس كتب عند الله من الصديقين وخفف عن والديه وإن كانا مشركين ومن كتب بسم الله الرحمن الرحيم فجوده تعظيما لله غفر له,1
5153, أن رجلا، من جيشان وجيشان من اليمن قدم فسأل رسول الله صلى الله عليه وسلم عن شراب يشربونه بأرضهم من الذرة يقال له المزر فقال النبي صلى الله عليه وسلم أمسكر هو قال نعم قال رسول الله صلى الله عليه وسلم كل مسكر حرام إن الله عز وجل عهد لمن شرب المسكر أن يسقيه من طينة الخبال قالوا يا رسول الله وما طينة الخبال قال عرق أهل النار أو قال عصارة أهل النار,0
10031,قال لقد رأيت رسول الله صلى الله عليه وسلم والحلاق يحلقه وأطاف به أصحابه فما يريدون أن تقع شعرة إلا في يد رجل,0
15752,أن رسول الله صلى الله عليه وسلم قال من حمل علينا السلاح فليس منا ومن غشنا فليس منا,0
9051, قال رسول الله صلى الله عليه وسلم الشفعة في كل شرك ربعة أو حائط لا يصلح أن يبيع حتى يؤذن شريكه فإن باع فهو أحق به حتى يؤذنه,0
667,أمرني رسول الله صلى الله عليه وسلم أن أتصدق بجلال البدن التي نحرت وبجلودها‏.‏,0
24993, حدثني من، أصدق فظننت أنه يريد عائشة أنها قالت كسفت الشمس على عهد رسول الله صلى الله عليه وسلم فقام بالناس قياما شديدا يقوم بالناس ثم يركع ثم يقوم ثم يركع ثم يقوم ثم يركع فركع ركعتين في كل ركعة ثلاث ركعات ركع الثالثة ثم سجد حتى إن رجالا يومئذ يغشى عليهم حتى إن سجال الماء لتصب عليهم مما قام بهم يقول إذا ركع الله أكبر وإذا رفع رأسه سمع الله لمن حمده فلم ينصرف حتى تجلت الشمس فقام فحمد الله وأثنى عليه وقال إن الشمس والقمر لا ينكسفان لموت أحد ولا لحياته ولكن آيتان من آيات الله يخوفكم بهما فإذا كسفا فافزعوا إلى ذكر الله عز وجل حتى ينجليا,0
20672, عن النبي صلى الله عليه وسلم قال من قال لصاحبه يوم الجمعة والإمام يخطب أنصت فقد لغا,0
12715,قدمت على النبي صلى الله عليه وسلم بالبطحاء فقال أحججت قلت نعم‏.‏ قال كيف أهللت قلت لبيك بإهلال كإهلال رسول الله صلى الله عليه وسلم‏.‏ قال طف بالبيت وبالصفا والمروة ثم حل فطفت بالبيت وبالصفا والمروة، وأتيت امرأة من قيس ففلت رأسي‏.‏,0
12291,"أن رجلا، سمع رجلا، يقرأ ‏{‏قل هو الله أحد‏}‏ يرددها، فلما أصبح جاء إلى رسول الله صلى الله عليه وسلم فذكر ذلك له، وكأن الرجل يتقالها فقال رسول الله صلى الله عليه وسلم ‏""‏ والذي نفسي بيده إنها لتعدل ثلث القرآن ‏""‏‏.‏",0
2061,عن رسول الله صلى الله عليه وسلم فذكر أحاديث منها وقال رسول الله صلى الله عليه وسلم يضحك الله لرجلين يقتل أحدهما الآخر كلاهما يدخل الجنة قالوا كيف يا رسول الله قال يقتل هذا فيلج الجنة ثم يتوب الله على الآخر فيهديه إلى الإسلام ثم يجاهد في سبيل الله فيستشهد,0
7687,أن رسول الله صلى الله عليه وسلم قال كل مسكر حرام قال ابن ماجه هذا حديث المصريين,0
17211,القاسم صلى الله عليه وسلم نبي التوبة من قذف مملوكه بريئا مما قال له أقام عليه الحد يوم القيامة إلا أن يكون كما قال,0
14878,سألت زيد بن أرقم رضى الله عنه كم غزوت مع رسول الله صلى الله عليه وسلم قال سبع عشرة‏.‏ قلت كم غزا النبي صلى الله عليه وسلم قال تسع عشرة‏.‏,0
6366, مسعود، ورد الحديث حتى رده إلى أبي سعيد الخدري قال ذكر ذلك عند رسول الله صلى الله عليه وسلم قال وما ذاكم قلنا الرجل تكون له المرأة فيصيبها ويكره الحمل وتكون له الأمة فيصيب منها ويكره أن تحمل منه قال لا عليكم أن لا تفعلوا فإنما هو القدر,0
9697,"لما أتى ماعز بن مالك النبي صلى الله عليه وسلم قال له ‏""‏ لعلك قبلت أو غمزت أو نظرت ‏""‏‏.‏ قال لا يا رسول الله‏.‏ قال ‏""‏ أنكتها ‏""‏‏.‏ لا يكني‏.‏ قال فعند ذلك أمر برجمه‏.‏",0
3026,كان رسول الله صلى الله عليه وسلم يتوضأ لكل صلاة فلما كان يوم الفتح صلى الصلوات بوضوء واحد فقال له عمر فعلت شيئا لم تكن تفعله قال عمدا فعلته يا عمر,0
20923,يقول قال رسول الله صلى الله عليه وسلم الشهر كذا وكذا وكذا وصفق بيديه مرتين بكل أصابعهما ونقص في الصفقة الثالثة إبهام اليمنى أو اليسرى,0
24415, سمعت رسول الله صلى الله عليه وسلم يقول المسلم من سلم المسلمون من لسانه ويده والمهاجر من هجر ما نهى الله عنه,0
19467,عن النبي صلى الله عليه وسلم أنه قال لا يلدغ المؤمن من جحر واحد مرتين,0
34,أن ضمادا، قدم مكة وكان من أزد شنوءة وكان يرقي من هذه الريح فسمع سفهاء من أهل مكة يقولون إن محمدا مجنون فقال لو أني رأيت هذا الرجل لعل الله يشفيه على يدى قال فلقيه فقال يا محمد إني أرقي من هذه الريح وإن الله يشفي على يدي من شاء فهل لك فقال رسول الله صلى الله عليه وسلم إن الحمد لله نحمده ونستعينه من يهده الله فلا مضل له ومن يضلل فلا هادي له وأشهد أن لا إله إلا الله وحده لا شريك له وأن محمدا عبده ورسوله أما بعد قال فقال أعد على كلماتك هؤلاء فأعادهن عليه رسول الله صلى الله عليه وسلم ثلاث مرات قال فقال لقد سمعت قول الكهنة وقول السحرة وقول الشعراء فما سمعت مثل كلماتك هؤلاء ولقد بلغن ناعوس البحر قال فقال هات يدك أبايعك على الإسلام قال فبايعه فقال رسول الله صلى الله عليه وسلم وعلى قومك قال وعلى قومي قال فبعث رسول الله صلى الله عليه وسلم سرية فمروا بقومه فقال صاحب السرية للجيش هل أصبتم من هؤلاء شيئا فقال رجل من القوم أصبت منهم مطهرة فقال ردوها فإن هؤلاء قوم ضماد,0
4566,قال رسول الله صلى الله عليه وسلم يد الله مع الجماعة,0
18182, يقول ما ترك رسول الله صلى الله عليه وسلم إلا بغلته البيضاء وسلاحه وأرضا تركها صدقة,0
16095,كسرت الربيع وهى عمة أنس بن مالك ثنية جارية من الأنصار، فطلب القوم القصاص، فأتوا النبي صلى الله عليه وسلم فأمر النبي صلى الله عليه وسلم بالقصاص‏.‏ فقال أنس بن النضر عم أنس بن مالك لا والله لا تكسر سنها يا رسول الله‏.‏ فقال رسول الله صلى الله عليه وسلم يا أنس كتاب الله القصاص فرضي القوم وقبلوا الأرش فقال رسول الله صلى الله عليه وسلم إن من عباد الله من لو أقسم على الله لأبره,0
1149,قال رسول الله صلى الله عليه وسلم بمثل حديث أبي معاوية غير أن حديث أبي أسامة ليس فيه ذكر التيسير على المعسر,0
10069,أن رسول الله صلى الله عليه وسلم ذكر يوم الجمعة فقال ‏ ‏ فيه ساعة لا يوافقها عبد مسلم، وهو قائم يصلي، يسأل الله تعالى شيئا إلا أعطاه إياه ‏‏‏.‏ وأشار بيده يقللها‏.‏,0
7053,لا أحد أغير من الله، ولذلك حرم الفواحش ما ظهر منها وما بطن، ولا شىء أحب إليه المدح من الله، لذلك مدح نفسه,0
11063,رسول الله صلى الله عليه وسلم يقول ‏ ‏ لا شىء أغير من الله ‏‏‏.‏,0
1851,كانوا يبتاعون الطعام في أعلى السوق فيبيعونه في مكانهم، فنهاهم رسول الله صلى الله عليه وسلم أن يبيعوه في مكانه حتى ينقلوه‏.‏,0
14789, بن جبل، أخبره أنهم، خرجوا مع رسول الله صلى الله عليه وسلم عام تبوك فكان رسول الله صلى الله عليه وسلم يجمع بين الظهر والعصر والمغرب والعشاء فأخر الصلاة يوما ثم خرج فصلى الظهر والعصر جميعا ثم دخل ثم خرج فصلى المغرب والعشاء,0
19494,جتمعوا وارفعوا أيديكم فاجتمعنا ورفعنا أيدينا ثم قال اللهم اغفر للمعلمين كي لا يذهب القرآن وأعز العلماء كي لا يذهب الدين,1
14121,بإسنادهم ومعنى حديثهم إلا قوله وإفشاء السلام فإنه قال بدلها ورد السلام وقال نهانا عن خاتم الذهب أو حلقة الذهب,0
4790, قال كان رسول الله صلى الله عليه وسلم إذا كان الحر أبرد بالصلاة وإذا كان البرد عجل,0
20765,"قال النبي صلى الله عليه وسلم ‏""‏ لا تسافر المرأة إلا مع ذي محرم، ولا يدخل عليها رجل إلا ومعها محرم ‏""‏‏.‏ فقال رجل يا رسول الله إني أريد أن أخرج في جيش كذا وكذا، وامرأتي تريد الحج‏.‏ فقال ‏""‏ اخرج معها ‏""‏‏.‏",0
12132,بن الحصين، أن رسول الله صلى الله عليه وسلم قال من انتهب نهبة فليس منا,0
20605,قال رسول الله صلى الله عليه وسلم لا ينظر الرجل إلى عورة الرجل ولا تنظر المرأة إلى عورة المرأة ولا يفضي الرجل إلى الرجل في الثوب الواحد ولا تفضي المرأة إلى المرأة في الثوب الواحد,0
11679, أنس، أن رسول الله صلى الله عليه وسلم احتجم وهو محرم على ظهر القدم من وجع كان به قال أبو داود سمعت أحمد قال ابن أبي عروبة أرسله يعني عن قتادة,0
18362, أم عطية الأنصارية، أن امرأة، كانت تختن بالمدينة فقال لها النبي صلى الله عليه وسلم لا تنهكي فإن ذلك أحظى للمرأة وأحب إلى البعل قال أبو داود روي عن عبيد الله بن عمرو عن عبد الملك بمعناه وإسناده قال أبو داود ليس هو بالقوي وقد روي مرسلا قال أبو داود ومحمد بن حسان مجهول وهذا الحديث ضعيف,0
26146,نزلت هذه الآية فينا ‏{‏إذ همت طائفتان منكم أن تفشلا‏}‏ بني سلمة وبني حارثة، وما أحب أنها لم تنزل، والله يقول ‏{‏والله وليهما‏}‏,0
11615,لما فرغ النبي صلى الله عليه وسلم من حنين بعث أبا عامر على جيش إلى أوطاس فلقي دريد بن الصمة، فقتل دريد وهزم الله أصحابه‏.‏ قال أبو موسى وبعثني مع أبي عامر فرمي أبو عامر في ركبته، رماه جشمي بسهم فأثبته في ركبته، فانتهيت إليه فقلت يا عم من رماك فأشار إلى أبي موسى فقال ذاك قاتلي الذي رماني‏.‏ فقصدت له فلحقته فلما رآني ولى فاتبعته وجعلت أقول له ألا تستحي، ألا تثبت‏.‏ فكف فاختلفنا ضربتين بالسيف فقتلته ثم قلت لأبي عامر قتل الله صاحبك‏.‏ قال فانزع هذا السهم فنزعته فنزا منه الماء‏.‏ قال يا ابن أخي أقرئ النبي صلى الله عليه وسلم السلام، وقل له استغفر لي‏.‏ واستخلفني أبو عامر على الناس، فمكث يسيرا ثم مات، فرجعت فدخلت على النبي صلى الله عليه وسلم في بيته على سرير مرمل وعليه فراش قد أثر رمال السرير بظهره وجنبيه، فأخبرته بخبرنا وخبر أبي عامر، وقال قل له استغفر لي، فدعا بماء فتوضأ ثم رفع يديه فقال اللهم اغفر لعبيد أبي عامر ورأيت بياض إبطيه ثم قال اللهم اجعله يوم القيامة فوق كثير من خلقك من الناس فقلت ولي فاستغفر‏.‏ فقال اللهم اغفر لعبد الله بن قيس ذنبه وأدخله يوم القيامة مدخلا كريما قال أبو بردة إحداهما لأبي عامر والأخرى لأبي موسى‏.‏,0
22625, رأيت النبي صلى الله عليه وآله وسلم متكئا على علي رضي الله عنه ، وإذا أبو بكر وعمر أقبلا فقال : يا أبا الحسن ، أحبهما فبحبهما تدخل الجنة,1
9343, عن النبي صلى الله عليه وسلم أنه نهى عن خاتم الذهب,0
9239,كان رسول الله صلى الله عليه وسلم وأبو بكر وعمر  رضى الله عنهما  يصلون العيدين قبل الخطبة‏.‏,0
4839,النبي صلى الله عليه وسلم‏.‏ وعن الزهري، عن أبي سلمة، عن أبي هريرة، عن النبي صلى الله عليه وسلم قال ‏ ‏ إذا سمعتم الإقامة فامشوا إلى الصلاة، وعليكم بالسكينة والوقار ولا تسرعوا، فما أدركتم فصلوا وما فاتكم فأتموا ‏‏‏.‏,0
9831,سمع عقبة بن عامر، على المنبر يقول إن رسول الله صلى الله عليه وسلم قال المؤمن أخو المؤمن فلا يحل للمؤمن أن يبتاع على بيع أخيه ولا يخطب على خطبة أخيه حتى يذر,0
7793,أنه كان ينام وهو شاب أعزب لا أهل له في مسجد النبي صلى الله عليه وسلم‏.‏,0
11863,قال رسول الله صلى الله عليه وسلم ‏ ‏ إذا دخل شهر رمضان فتحت أبواب السماء، وغلقت أبواب جهنم، وسلسلت الشياطين ‏‏‏.‏,0
25737, قال كان رسول الله صلى الله عليه وسلم يقرأ في الوتر ب سبح اسم ربك الأعلى و قل يا أيها الكافرون و قل هو الله أحد,0
24265,النبي صلى الله عليه وسلم قوله حوضه ما بين صنعاء والمدينة‏.‏ فقال له المستورد ألم تسمعه قال الأواني‏.‏ قال لا‏.‏ قال المستورد ترى فيه الآنية مثل الكواكب‏.‏,0
18995, إن الله وملائكته يترحمون على المقرين على أنفسهم بالذنوب,1
21118, قال بينما أنا وأبو هريرة عند ابن عباس إذ جاءته امرأة فقالت توفي عنها زوجها وهي حامل فولدت لأدنى من أربعة أشهر من يوم مات فقال ابن عباس آخر الأجلين فقال أبو سلمة أخبرني رجل من أصحاب النبي صلى الله عليه وسلم أن سبيعة الأسلمية جاءت إلى رسول الله صلى الله عليه وسلم فقالت توفي عنها زوجها وهي حامل فولدت لأدنى من أربعة أشهر فأمرها رسول الله صلى الله عليه وسلم أن تتزوج قال أبو هريرة وأنا أشهد على ذلك,0
