,Matan,Degree
18705, هريرة أن النبي صلى الله عليه وسلم قال من قام رمضان إيمانا واحتسابا غفر له ما تقدم من ذنبه,0
25345,قال قلما كان رسول الله صلى الله عليه وسلم يقوم من مجلس حتى يدعو بهؤلاء الكلمات لأصحابه اللهم اقسم لنا من خشيتك ما يحول بيننا وبين معاصيك ومن طاعتك ما تبلغنا به جنتك ومن اليقين ما تهون به علينا مصيبات الدنيا ومتعنا بأسماعنا وأبصارنا وقوتنا ما أحييتنا واجعله الوارث منا واجعل ثأرنا على من ظلمنا وانصرنا على من عادانا ولا تجعل مصيبتنا في ديننا ولا تجعل الدنيا أكبر همنا ولا مبلغ علمنا ولا تسلط علينا من لا يرحمنا,0
175,سمعت رسول الله صلى الله عليه وسلم يقول كيلوا طعامكم يبارك لكم فيه,0
12846,رأيت رسول الله صلى الله عليه وسلم في منامي على برذون أبلق فدنوت منه وعليه عمامة من نور معتجرا بها وفي رجليه نعلان خضراوان شراكهما من لؤلؤ رطب بكفه قضيب من قضبان الجنة أخضر فسلم علي فرددت عليه وقلت يا رسول الله قد اشتد شوقي إليك فأين أنت فقال إن عثمان أصبح عروسا في الجنة وقد دعيت إلى عرسه,1
10901,قال رسول الله صلى الله عليه وسلم من اقتنى كلبا فإنه ينقص من عمله كل يوم قيراط إلا كلب حرث أو ماشية,0
5540, يأتي على الناس زمان أكثرهم وجوههم وجوه الآدميين وقلوبهم قلوب الذئاب الضواري سفاكون للدماء لا يرعون عن قبيح فعلوه فإن بايعتهم ضاروك وإن حدثتهم كذبوك وإن ائتمنتهم خانوك وإن تواريت منهم اغتابوك صبيهم عارم وشابهم شاطر وشيخهم فاجر لا يأمرون بالمعروف ولا ينهون عن المنكر الاعتزاز بهم ذل ولاختلاط بهم فقر الحليم فيهم غاو والغاوي فيهم حليم السنة فيهم بدعة والبدعة فيهم سنة والآمر بينهم بالمروف متهم والفاسق فيهم مشرف والمؤمن بينهم مستضعف فإذا فعلوا ذلك سلط الله عليهم أقواما إن تكلموا قتلوا وإن سكتوا استأجروهم يستأثون عليهم بفيئهم ويجرون عليهم في حكمهم,1
19067, الله فقلت أخبرني عن حجة النبي، صلى الله عليه وسلم فقال إن رسول الله صلى الله عليه وسلم دفع من المزدلفة قبل أن تطلع الشمس وأردف الفضل بن العباس حتى أتى محسرا حرك قليلا ثم سلك الطريق الوسطى التي تخرجك على الجمرة الكبرى حتى أتى الجمرة التي عند الشجرة فرمى بسبع حصيات يكبر مع كل حصاة منها حصى الخذف رمى من بطن الوادي,0
7330, نهى رسول الله صلى الله عليه وآله وسلم عن قتل الخطاطيف ، وكان يأمر بقتل العنكبوت . وكان يقال : إنه مسخ,1
16008, أعطى النبي صلى الله عليه وسلم رجالا ولم يعط رجلا منهم شيئا قال سعد يا رسول الله أعطيت فلانا وفلانا ولم تعط فلانا شيئا وهو مؤمن فقال النبي صلى الله عليه وسلم أو مسلم حتى أعادها سعد ثلاثا والنبي صلى الله عليه وسلم يقول أو مسلم ثم قال النبي صلى الله عليه وسلم إني لأعطي رجالا وأدع من هو أحب إلى منهم لا أعطيه شيئا مخافة أن يكبوا في النار على وجوههم,0
5406, أبو هريرة، أن رسول الله صلى الله عليه وسلم قال من قام رمضان إيمانا واحتسابا غفر له ما تقدم من ذنبه ومن قام ليلة القدر إيمانا واحتسابا غفر له ما تقدم من ذنبه,0
3412,قال رسول الله صلى الله عليه وسلم إذا اشتد الحر فأبردوا بالصلاة فإن شدة الحر من فيح جهنم,0
18762,رسول الله صلى الله عليه وسلم يقول ‏ ‏ أنا أولى الناس بابن مريم، والأنبياء أولاد علات، ليس بيني وبينه نبي ‏‏‏.‏,0
1600, من أنى في الدير سبع مرات حول الله شهوته من قبل إلى دبره,1
7881,أنه كان يحدث أن رسول الله صلى الله عليه وسلم مر عليه بجنازة فقال مستريح ومستراح منه قالوا يا رسول الله ما المستريح والمستراح منه فقال العبد المؤمن يستريح من نصب الدنيا والعبد الفاجر يستريح منه العباد والبلاد والشجر والدواب,0
13987,هريرة، أن رسول الله صلى الله عليه وسلم قال يستجاب لأحدكم ما لم يعجل قيل وكيف يعجل يا رسول الله قال يقول قد دعوت الله فلم يستجب الله لي,0
17995,عن رجل، عن ابن عمر، أن النبي صلى الله عليه وسلم كان إذا أراد حاجة لا يرفع ثوبه حتى يدنو من الأرض قال أبو داود رواه عبد السلام بن حرب عن الأعمش عن أنس بن مالك وهو ضعيف قال أبو عيسى الرملي حدثنا أحمد بن الوليد حدثنا عمرو بن عون أخبرنا عبد السلام به,0
22870,  إنكم ستقاتلون بني الأصفر، ويقاتلهم الذين من بعدكم، حتى تخرج إليهم روقة الإسلام، أهل الحجاز، الذين لا يخافون في الله لومة لائم، فيفتتحون القسطنطينية بالتسبيح والتكبير، فيصيبون غنائم لم يصيبوا مثلها، حتى يقتسموا بالأترسة، ويأتي آت فيقول: إن المسيح قد خرج في بلادكم، ألا وهي كذبة، فالآخذ نادم، والتارك نادم.,1
3493, قال ما أتي النبي صلى الله عليه وسلم في شىء فيه قصاص إلا أمر فيه بالعفو,0
25266,قال لي رسول الله صلى الله عليه وسلم يا عبد الرحمن لا تسأل الإمارة فإنك إن أعطيتها عن مسألة أكلت إليها وإن أعطيتها عن غير مسألة أعنت عليها,0
11303,"كان بين هذا الحى من جرم وبين الأشعريين ود وإخاء، فكنا عند أبي موسى الأشعري، فقرب إليه طعام فيه لحم دجاج وعنده رجل من بني تيم الله أحمر كأنه من الموالي، فدعاه إلى الطعام فقال إني رأيته يأكل شيئا فقذرته، فحلفت أن لا آكله‏.‏ فقال قم فلأحدثنك عن ذاك، إني أتيت رسول الله صلى الله عليه وسلم في نفر من الأشعريين نستحمله فقال ‏""‏ والله لا أحملكم، وما عندي ما أحملكم ‏""‏‏.‏ فأتي رسول الله صلى الله عليه وسلم بنهب إبل فسأل عنا‏.‏ فقال ‏""‏ أين النفر الأشعريون ‏""‏‏.‏ فأمر لنا بخمس ذود غر الذرى، فلما انطلقنا قلنا ما صنعنا حلف رسول الله صلى الله عليه وسلم لا يحملنا وما عنده ما يحملنا ثم حملنا، تغفلنا رسول الله صلى الله عليه وسلم يمينه، والله لا نفلح أبدا، فرجعنا إليه فقلنا له إنا أتيناك لتحملنا فحلفت أن لا تحملنا، وما عندك ما تحملنا‏.‏ فقال ‏""‏ إني لست أنا حملتكم، ولكن الله حملكم، والله لا أحلف على يمين فأرى غيرها خيرا منها، إلا أتيت الذي هو خير وتحللتها ‏""‏‏.‏",0
12058,دخل النبي صلى الله عليه وسلم عام الفتح من كداء من أعلى مكة‏.‏ وكان عروة أكثر ما يدخل من كداء وكان أقربهما إلى منزله‏.‏,0
26002,بمثله غير أنه قال فلما سلم قمت في مقامي ولم يذكر الإمام,0
16696,صلى بنا النبي صلى الله عليه وسلم الظهر ركعتين، ثم سلم، ثم قام إلى خشبة في مقدم المسجد، ووضع يده عليها، وفي القوم يومئذ أبو بكر وعمر، فهابا أن يكلماه، وخرج سرعان الناس فقالوا قصرت الصلاة‏.‏ وفي القوم رجل كان النبي صلى الله عليه وسلم يدعوه ذا اليدين فقال يا نبي الله أنسيت أم قصرت‏.‏ فقال لم أنس ولم تقصر قالوا بل نسيت يا رسول الله‏.‏ قال صدق ذو اليدين فقام فصلى ركعتين ثم سلم، ثم كبر، فسجد مثل سجوده أو أطول، ثم رفع رأسه وكبر، ثم وضع مثل سجوده أو أطول، ثم رفع رأسه وكبر‏.‏,0
14378,عن النبي صلى الله عليه وسلم قال في المملوك بين الرجلين فيعتق أحدهما قال يضمن‏‏,0
20546,كان يحيى يقول وأنا أسمع فسقط عني عن مسير النبي صلى الله عليه وسلم في حجة الوداع، قال فكان يسير العنق، فإذا وجد فجوة نص‏.‏ والنص فوق العنق‏.‏,0
4788,ما من أحد يسلم علي إلا رد الله إلي روحي حتى أرد عليه السلام,1
3700,يقول قال رسول الله صلى الله عليه وسلم خمس من قتلهن وهو حرام فلا جناح عليه فيهن العقرب والفارة والكلب العقور والغراب والحديا واللفظ ليحيى بن يحيى,0
13801,حج عبد الله رضى الله عنه فأتينا المزدلفة حين الأذان بالعتمة، أو قريبا من ذلك، فأمر رجلا فأذن وأقام، ثم صلى المغرب، وصلى بعدها ركعتين، ثم دعا بعشائه فتعشى، ثم أمر أرى رجلا فأذن وأقام قال عمرو لا أعلم الشك إلا من زهير ثم صلى العشاء ركعتين، فلما طلع الفجر قال إن النبي صلى الله عليه وسلم كان لا يصلي هذه الساعة إلا هذه الصلاة، في هذا المكان، من هذا اليوم‏.‏ قال عبد الله هما صلاتان تحولان عن وقتهما صلاة المغرب بعد ما يأتي الناس المزدلفة، والفجر حين يبزغ الفجر‏.‏ قال رأيت النبي صلى الله عليه وسلم يفعله‏.‏,0
12771, لما خلق الله تعالى آدم وحواء تبخترا في الجنة وقالا ما خلق الله خلقا احسن منا فبينما هما كذلك إذ هما بصورة جارية لم ير الراؤن أحسن منها لها نور شعشعاني يكاد يطفئ الأبصار على رأسها تاج وفي أذنيها قرطان فقال يا رب ما هذه الجارية قال صورة فاطمة بنت محمد سيد ولدك فقالا ما هذا التاج على رأسها قال هذا بعلها علي بن أبي طالب قال فما هذان القرطان قال ابناها الحسن والحسين وجد ذلك في غامض علمي قبل أن أخلقك بألفي عام,1
5943, قال كان رسول الله صلى الله عليه وسلم يقرأ في الظهر والعصر في الركعتين الأوليين بفاتحة الكتاب وسورتين ويسمعنا الآية أحيانا وكان يطيل الركعة الأولى في الظهر ويقصر في الثانية وكذلك في الصبح,0
14387,الجبروت في القلب,1
25112,هشام، بهذا الإسناد وفي حديثهما ربطتها وفي حديث أبي معاوية حشرات الأرض,0
22693,أن رسول الله صلى الله عليه وسلم ذكر عنده عمه أبو طالب فقال لعله تنفعه شفاعتي يوم القيامة فيجعل في ضحضاح من نار يبلغ كعبيه يغلي منه دماغه,0
9262,قال النبي صلى الله عليه وسلم ‏ ‏ من لبس الحرير في الدنيا لم يلبسه في الآخرة ‏‏‏.‏,0
1382,بعث إلى النبي صلى الله عليه وسلم بذهيبة فقسمها بين أربعة‏.‏ وحدثني إسحاق بن نصر حدثنا عبد الرزاق أخبرنا سفيان عن أبيه عن ابن أبي نعم عن أبي سعيد الخدري قال بعث علي وهو باليمن إلى النبي صلى الله عليه وسلم بذهيبة في تربتها، فقسمها بين الأقرع بن حابس الحنظلي ثم أحد بني مجاشع، وبين عيينة بن بدر الفزاري، وبين علقمة بن علاثة العامري ثم أحد بني كلاب، وبين زيد الخيل الطائي ثم أحد بني نبهان، فتغضبت قريش والأنصار فقالوا يعطيه صناديد أهل نجد ويدعنا قال إنما أتألفهم فأقبل رجل غائر العينين، ناتئ الجبين، كث اللحية، مشرف الوجنتين، محلوق الرأس فقال يا محمد اتق الله‏.‏ فقال النبي صلى الله عليه وسلم فمن يطيع الله إذا عصيته فيأمني على أهل الأرض، ولا تأمنوني فسأل رجل من القوم قتله أراه خالد بن الوليد فمنعه النبي صلى الله عليه وسلم فلما ولى قال النبي صلى الله عليه وسلم إن من ضئضئ هذا قوما يقرءون القرآن لا يجاوز حناجرهم، يمرقون من الإسلام مروق السهم من الرمية، يقتلون أهل الإسلام ويدعون أهل الأوثان، لئن أدركتهم لأقتلنهم قتل عاد,0
13893,حكيم، في هذا الإسناد بمثل حديث مروان الفزاري,0
12225,كان ابن عمر يعطي زكاة رمضان بمد النبي صلى الله عليه وسلم المد الأول، وفي كفارة اليمين بمد النبي صلى الله عليه وسلم‏.‏ قال أبو قتيبة قال لنا مالك مدنا أعظم من مدكم ولا نرى الفضل إلا في مد النبي صلى الله عليه وسلم‏.‏ وقال لي مالك لو جاءكم أمير فضرب مدا أصغر من مد النبي صلى الله عليه وسلم بأى شىء كنتم تعطون قلت كنا نعطي بمد النبي صلى الله عليه وسلم قال أفلا ترى أن الأمر إنما يعود إلى مد النبي صلى الله عليه وسلم‏.‏,0
16287,أن النبي صلى الله عليه وسلم قال من لكعب بن الأشرف، فإنه قد آذى الله ورسوله قال محمد بن مسلمة أتحب أن أقتله يا رسول الله قال نعم قال فأتاه فقال إن هذا يعني النبي صلى الله عليه وسلم قد عنانا وسألنا الصدقة، قال وأيضا والله قال فإنا قد اتبعناه فنكره أن ندعه حتى ننظر إلى ما يصير أمره قال فلم يزل يكلمه حتى استمكن منه فقتله‏.‏,0
2721, أعطى رسول الله صلى الله عليه وسلم رجالا ولم يعط رجلا منهم شيئا فقال سعد يا رسول الله أعطيت فلانا وفلانا ولم تعط فلانا شيئا وهو مؤمن فقال النبي صلى الله عليه وسلم أو مسلم حتى أعادها سعد ثلاثا والنبي صلى الله عليه وسلم يقول أو مسلم ثم قال النبي صلى الله عليه وسلم إني أعطي رجالا وأدع من هو أحب إلى منهم لا أعطيه شيئا مخافة أن يكبوا في النار على وجوههم,0
15342, أهدت خالتي إلى رسول الله صلى الله عليه وسلم أقطا وسمنا وأضبا فأكل من الأقط والسمن وترك الأضب تقذرا وأكل على مائدة رسول الله صلى الله عليه وسلم ولو كان حراما ما أكل على مائدة رسول الله صلى الله عليه وسلم,0
